i t_now Tx Ty Tz theta_x_filt theta_y_filt 
1 0.005202770233154297 0.0 0.0 0.0 0.0 0.0 
2 0.010548830032348633 0.0 0.0 0.0 0.0 0.0 
3 0.015877962112426758 0.0 0.0 0.0 0.0 0.0 
4 0.0211489200592041 0.0 0.0 0.0 0.0 0.0 
5 0.026476144790649414 0.0 0.0 0.0 0.0 0.0 
6 0.0317227840423584 0.0 0.0 0.0 0.0 0.0 
7 0.036966562271118164 0.0 0.0 0.0 0.0 0.0 
8 0.04221701622009277 0.0 0.0 0.0 0.0 0.0 
9 0.04745674133300781 0.0 0.0 0.0 0.0 0.0 
10 0.0526885986328125 0.0 0.0 0.0 0.0 0.0 
11 0.05807089805603027 0.0 0.0 0.0 0.0 0.0 
12 0.06347441673278809 0.0 0.0 0.0 0.0 0.0 
13 0.06890988349914551 0.0 0.0 0.0 0.0 0.0 
14 0.07419610023498535 0.0 0.0 0.0 0.0 0.0 
15 0.07940793037414551 0.0 0.0 0.0 0.0 0.0 
16 0.08462142944335938 0.0 0.0 0.0 0.0 0.0 
17 0.0898277759552002 0.0 0.0 0.0 0.0 0.0 
18 0.09502720832824707 0.0 0.0 0.0 0.0 0.0 
19 0.10024452209472656 0.0 0.0 0.0 0.0 0.0 
20 0.10550189018249512 0.0 0.0 0.0 0.0 0.0 
21 0.11087226867675781 0.0 0.0 0.0 0.0 0.0 
22 0.11613106727600098 0.0 0.0 0.0 0.0 0.0 
23 0.12142539024353027 0.0 0.0 0.0 0.0 0.0 
24 0.12663936614990234 0.0 0.0 0.0 0.0 0.0 
25 0.13196229934692383 0.0 0.0 0.0 0.0 0.0 
26 0.13718104362487793 0.0 0.0 0.0 0.0 0.0 
27 0.14240503311157227 0.0 0.0 0.0 0.0 0.0 
28 0.14764404296875 0.0 0.0 0.0 0.0 0.0 
29 0.1528615951538086 0.0 0.0 0.0 0.0 0.0 
30 0.15805983543395996 0.0 0.0 0.0 0.0 0.0 
31 0.1634962558746338 0.0 0.0 0.0 0.0 0.0 
32 0.16879868507385254 0.0 0.0 0.0 0.0 0.0 
33 0.17409276962280273 0.0 0.0 0.0 0.0 0.0 
34 0.17932605743408203 0.0 0.0 0.0 0.0 0.0 
35 0.18456292152404785 0.0 0.0 0.0 0.0 0.0 
36 0.18985533714294434 0.0 0.0 0.0 0.0 0.0 
37 0.1950817108154297 0.0 0.0 0.0 0.0 0.0 
38 0.20027875900268555 0.0 0.0 0.0 0.0 0.0 
39 0.20547223091125488 0.0 0.0 0.0 0.0 0.0 
40 0.21068477630615234 0.0 0.0 0.0 0.0 0.0 
41 0.21600842475891113 0.0 0.0 0.0 0.0 0.0 
42 0.22125673294067383 0.0 0.0 0.0 0.0 0.0 
43 0.22659754753112793 0.0 0.0 0.0 0.0 0.0 
44 0.23187708854675293 0.0 0.0 0.0 0.0 0.0 
45 0.23720097541809082 0.0 0.0 0.0 0.0 0.0 
46 0.2424790859222412 0.0 0.0 0.0 0.0 0.0 
47 0.2476520538330078 0.0 0.0 0.0 0.0 0.0 
48 0.2528843879699707 0.0 0.0 0.0 0.0 0.0 
49 0.25812411308288574 0.0 0.0 0.0 0.0 0.0 
50 0.2633402347564697 0.0 0.0 0.0 0.0 0.0 
51 0.2687370777130127 0.0 0.0 0.0 0.0 0.0 
52 0.2741873264312744 0.0 0.0 0.0 0.0 0.0 
53 0.27947998046875 0.0 0.0 0.0 0.0 0.0 
54 0.2847435474395752 0.0 0.0 0.0 0.0 0.0 
55 0.29003024101257324 0.0 0.0 0.0 0.0 0.0 
56 0.29535961151123047 0.0 0.0 0.0 0.0 0.0 
57 0.3005809783935547 0.0 0.0 0.0 0.0 0.0 
58 0.30583906173706055 0.0 0.0 0.0 0.0 0.0 
59 0.31105661392211914 0.0 0.0 0.0 0.0 0.0 
60 0.3162705898284912 0.0 0.0 0.0 0.0 0.0 
61 0.32161855697631836 0.0 0.0 0.0 0.0 0.0 
62 0.3268718719482422 0.0 0.0 0.0 0.0 0.0 
63 0.33220672607421875 0.0 0.0 0.0 0.0 0.0 
64 0.3374812602996826 0.0 0.0 0.0 0.0 0.0 
65 0.3427395820617676 0.0 0.0 0.0 0.0 0.0 
66 0.3481454849243164 0.0 0.0 0.0 0.0 0.0 
67 0.3534834384918213 0.0 0.0 0.0 0.0 0.0 
68 0.35870909690856934 0.0 0.0 0.0 0.0 0.0 
