i t_now Tx Ty Tz theta_x_filt theta_y_filt 
1 0.0052912235260009766 0.0 0.0 0.0 0.0 0.0 
2 0.010648488998413086 0.0 0.0 0.0 0.0 0.0 
3 0.01596856117248535 0.0 0.0 0.0 0.0 0.0 
4 0.021200180053710938 0.0 0.0 0.0 0.0 0.0 
5 0.026453256607055664 0.0 0.0 0.0 0.0 0.0 
6 0.03170204162597656 0.0 0.0 0.0 0.0 0.0 
7 0.03695344924926758 0.0 0.0 0.0 0.0 0.0 
8 0.042241573333740234 0.0 0.0 0.0 0.0 0.0 
9 0.04750347137451172 0.0 0.0 0.0 0.0 0.0 
10 0.05291438102722168 0.0 0.0 0.0 0.0 0.0 
11 0.05829477310180664 0.0 0.0 0.0 0.0 0.0 
12 0.06368875503540039 0.0 0.0 0.0 0.0 0.0 
13 0.06902956962585449 0.0 0.0 0.0 0.0 0.0 
14 0.07427716255187988 0.0 0.0 0.0 0.0 0.0 
15 0.07950973510742188 0.0 0.0 0.0 0.0 0.0 
16 0.08474493026733398 0.0 0.0 0.0 0.0 0.0 
17 0.08997654914855957 0.0 0.0 0.0 0.0 0.0 
18 0.09517788887023926 0.0 0.0 0.0 0.0 0.0 
19 0.10037589073181152 0.0 0.0 0.0 0.0 0.0 
20 0.10560226440429688 0.0 0.0 0.0 0.0 0.0 
21 0.11093497276306152 0.0 0.0 0.0 0.0 0.0 
22 0.11620450019836426 0.0 0.0 0.0 0.0 0.0 
23 0.12150931358337402 0.0 0.0 0.0 0.0 0.0 
24 0.12684106826782227 0.0 0.0 0.0 0.0 0.0 
25 0.13211345672607422 0.0 0.0 0.0 0.0 0.0 
26 0.13735342025756836 0.0 0.0 0.0 0.0 0.0 
27 0.14262080192565918 0.0 0.0 0.0 0.0 0.0 
28 0.14803433418273926 0.0 0.0 0.0 0.0 0.0 
29 0.1534121036529541 0.0 0.0 0.0 0.0 0.0 
30 0.15872955322265625 0.0 0.0 0.0 0.0 0.0 
31 0.16406512260437012 0.0 0.0 0.0 0.0 0.0 
32 0.1693410873413086 0.0 0.0 0.0 0.0 0.0 
33 0.17463207244873047 0.0 0.0 0.0 0.0 0.0 
34 0.17995405197143555 0.0 0.0 0.0 0.0 0.0 
35 0.18528366088867188 0.0 0.0 0.0 0.0 0.0 
36 0.19057226181030273 0.0 0.0 0.0 0.0 0.0 
37 0.19583654403686523 0.0 0.0 0.0 0.0 0.0 
38 0.20109295845031738 0.0 0.0 0.0 0.0 0.0 
39 0.20636868476867676 0.0 0.0 0.0 0.0 0.0 
40 0.2116100788116455 0.0 0.0 0.0 0.0 0.0 
41 0.21701502799987793 0.0 0.0 0.0 0.0 0.0 
42 0.22237348556518555 0.0 0.0 0.0 0.0 0.0 
43 0.22776007652282715 0.0 0.0 0.0 0.0 0.0 
44 0.233076810836792 0.0 0.0 0.0 0.0 0.0 
45 0.23846721649169922 0.0 0.0 0.0 0.0 0.0 
46 0.2437291145324707 0.0 0.0 0.0 0.0 0.0 
47 0.24896836280822754 0.0 0.0 0.0 0.0 0.0 
48 0.2542235851287842 0.0 0.0 0.0 0.0 0.0 
49 0.25951552391052246 0.0 0.0 0.0 0.0 0.0 
50 0.26473093032836914 0.0 0.0 0.0 0.0 0.0 
51 0.2701375484466553 0.0 0.0 0.0 0.0 0.0 
52 0.27541399002075195 0.0 0.0 0.0 0.0 0.0 
53 0.28074121475219727 0.0 0.0 0.0 0.0 0.0 
54 0.2860147953033447 0.0 0.0 0.0 0.0 0.0 
55 0.29152631759643555 0.0 0.0 0.0 0.0 0.0 
56 0.296905517578125 0.0 0.0 0.0 0.0 0.0 
57 0.3021883964538574 0.0 0.0 0.0 0.0 0.0 
58 0.3074018955230713 0.0 0.0 0.0 0.0 0.0 
59 0.31264805793762207 0.0 0.0 0.0 0.0 0.0 
60 0.3178741931915283 0.0 0.0 0.0 0.0 0.0 
61 0.32320523262023926 0.0 0.0 0.0 0.0 0.0 
62 0.3284883499145508 0.0 0.0 0.0 0.0 0.0 
63 0.3337719440460205 0.0 0.0 0.0 0.0 0.0 
64 0.3391287326812744 0.0 0.0 0.0 0.0 0.0 
65 0.3443732261657715 0.0 0.0 0.0 0.0 0.0 
66 0.34974169731140137 0.0 0.0 0.0 0.0 0.0 
67 0.3550577163696289 0.0 0.0 0.0 0.0 0.0 
68 0.3604462146759033 0.0 0.0 0.0 0.0 0.0 
69 0.36574721336364746 0.0 0.0 0.0 0.0 0.0 
70 0.37097668647766113 0.0 0.0 0.0 0.0 0.0 
71 0.37637805938720703 0.0 0.0 0.0 0.0 0.0 
72 0.3816525936126709 0.0 0.0 0.0 0.0 0.0 
73 0.38694190979003906 0.0 0.0 0.0 0.0 0.0 
74 0.39218974113464355 0.0 0.0 0.0 0.0 0.0 
75 0.39745259284973145 0.0 0.0 0.0 0.0 0.0 
76 0.40278196334838867 0.0 0.0 0.0 0.0 0.0 
77 0.40809059143066406 0.0 0.0 0.0 0.0 0.0 
78 0.41336774826049805 0.0 0.0 0.0 0.0 0.0 
79 0.41858482360839844 0.0 0.0 0.0 0.0 0.0 
80 0.4238302707672119 0.0 0.0 0.0 0.0 0.0 
81 0.42919325828552246 0.0 0.0 0.0 0.0 0.0 
82 0.43444371223449707 0.0 0.0 0.0 0.0 0.0 
83 0.43972182273864746 0.0 0.0 0.0 0.0 0.0 
84 0.44501304626464844 0.0 0.0 0.0 0.0 0.0 
85 0.4502720832824707 0.0 0.0 0.0 0.0 0.0 
86 0.45560455322265625 0.0 0.0 0.0 0.0 0.0 
87 0.46089696884155273 0.0 0.0 0.0 0.0 0.0 
88 0.46621251106262207 0.0 0.0 0.0 0.0 0.0 
89 0.47142505645751953 0.0 0.0 0.0 0.0 0.0 
90 0.47663354873657227 0.0 0.0 0.0 0.0 0.0 
91 0.48198938369750977 0.0 0.0 0.0 0.0 0.0 
92 0.48727869987487793 0.0 0.0 0.0 0.0 0.0 
93 0.4926135540008545 0.0 0.0 0.0 0.0 0.0 
94 0.4978654384613037 0.0 0.0 0.0 0.0 0.0 
95 0.5031006336212158 0.0 0.0 0.0 0.0 0.0 
96 0.508453369140625 0.0 0.0 0.0 0.0 0.0 
97 0.5136995315551758 0.0 0.0 0.0 0.0 0.0 
98 0.5189149379730225 0.0 0.0 0.0 0.0 0.0 
99 0.5241503715515137 0.0 0.0 0.0 0.0 0.0 
100 0.5293738842010498 0.0 0.0 0.0 0.0 0.0 
101 0.5347378253936768 0.0 0.0 0.0 0.0 0.0 
102 0.5399911403656006 0.0 0.0 0.0 0.0 0.0 
103 0.545274019241333 0.0 0.0 0.0 0.0 0.0 
104 0.5504879951477051 0.0 0.0 0.0 0.0 0.0 
105 0.5557258129119873 0.0 0.0 0.0 0.0 0.0 
106 0.5609734058380127 0.0 0.0 0.0 0.0 0.0 
107 0.5663919448852539 0.0 0.0 0.0 0.0 0.0 
108 0.5716922283172607 0.0 0.0 0.0 0.0 0.0 
109 0.5769484043121338 0.0 0.0 0.0 0.0 0.0 
110 0.5821692943572998 0.0 0.0 0.0 0.0 0.0 
111 0.5875458717346191 0.0 0.0 0.0 0.0 0.0 
112 0.5929057598114014 0.0 0.0 0.0 0.0 0.0 
113 0.5981972217559814 0.0 0.0 0.0 0.0 0.0 
114 0.6034426689147949 0.0 0.0 0.0 0.0 0.0 
115 0.6086630821228027 0.0 0.0 0.0 0.0 0.0 
116 0.6139097213745117 0.0 0.0 0.0 0.0 0.0 
117 0.619145393371582 0.0 0.0 0.0 0.0 0.0 
118 0.6243534088134766 0.0 0.0 0.0 0.0 0.0 
119 0.6296577453613281 0.0 0.0 0.0 0.0 0.0 
120 0.6349384784698486 0.0 0.0 0.0 0.0 0.0 
121 0.640291690826416 0.0 0.0 0.0 0.0 0.0 
122 0.645554780960083 0.0 0.0 0.0 0.0 0.0 
123 0.6508452892303467 0.0 0.0 0.0 0.0 0.0 
124 0.656057596206665 0.0 0.0 0.0 0.0 0.0 
125 0.661264181137085 0.0 0.0 0.0 0.0 0.0 
126 0.6664876937866211 0.0 0.0 0.0 0.0 0.0 
127 0.6718549728393555 0.0 0.0 0.0 0.0 0.0 
128 0.6771872043609619 0.0 0.0 0.0 0.0 0.0 
129 0.6825740337371826 0.0 0.0 0.0 0.0 0.0 
130 0.6878600120544434 0.0 0.0 0.0 0.0 0.0 
131 0.6932342052459717 0.0 0.0 0.0 0.0 0.0 
132 0.698502779006958 0.0 0.0 0.0 0.0 0.0 
133 0.7038402557373047 0.0 0.0 0.0 0.0 0.0 
134 0.7090671062469482 0.0 0.0 0.0 0.0 0.0 
135 0.7143001556396484 0.0 0.0 0.0 0.0 0.0 
136 0.7195067405700684 0.0 0.0 0.0 0.0 0.0 
137 0.7247285842895508 0.0 0.0 0.0 0.0 0.0 
138 0.7299799919128418 0.0 0.0 0.0 0.0 0.0 
139 0.7351832389831543 0.0 0.0 0.0 0.0 0.0 
140 0.7403805255889893 0.0 0.0 0.0 0.0 0.0 
141 0.7457151412963867 0.0 0.0 0.0 0.0 0.0 
142 0.7509994506835938 0.0 0.0 0.0 0.0 0.0 
143 0.7562885284423828 0.0 0.0 0.0 0.0 0.0 
144 0.7615571022033691 0.0 0.0 0.0 0.0 0.0 
145 0.7668395042419434 0.0 0.0 0.0 0.0 0.0 
146 0.7722201347351074 0.0 0.0 0.0 0.0 0.0 
147 0.7774753570556641 0.0 0.0 0.0 0.0 0.0 
148 0.7826907634735107 0.0 0.0 0.0 0.0 0.0 
149 0.7879443168640137 0.0 0.0 0.0 0.0 0.0 
150 0.793215274810791 0.0 0.0 0.0 0.0 0.0 
151 0.7985579967498779 0.0 0.0 0.0 0.0 0.0 
152 0.803964376449585 0.0 0.0 0.0 0.0 0.0 
153 0.8093388080596924 0.0 0.0 0.0 0.0 0.0 
154 0.8145759105682373 0.0 0.0 0.0 0.0 0.0 
155 0.8198502063751221 0.0 0.0 0.0 0.0 0.0 
156 0.8250768184661865 0.0 0.0 0.0 0.0 0.0 
157 0.8302779197692871 0.0 0.0 0.0 0.0 0.0 
158 0.8354671001434326 0.0 0.0 0.0 0.0 0.0 
159 0.8406496047973633 0.0 0.0 0.0 0.0 0.0 
160 0.8458728790283203 0.0 0.0 0.0 0.0 0.0 
161 0.8512251377105713 0.0 0.0 0.0 0.0 0.0 
162 0.8564682006835938 0.0 0.0 0.0 0.0 0.0 
163 0.861748218536377 0.0 0.0 0.0 0.0 0.0 
164 0.8669688701629639 0.0 0.0 0.0 0.0 0.0 
165 0.8721652030944824 0.0 0.0 0.0 0.0 0.0 
166 0.8775122165679932 0.0 0.0 0.0 0.0 0.0 
167 0.8828375339508057 0.0 0.0 0.0 0.0 0.0 
168 0.8880996704101562 0.0 0.0 0.0 0.0 0.0 
169 0.8933322429656982 0.0 0.0 0.0 0.0 0.0 
170 0.8985476493835449 0.0 0.0 0.0 0.0 0.0 
171 0.9038705825805664 0.0 0.0 0.0 0.0 0.0 
172 0.9091694355010986 0.0 0.0 0.0 0.0 0.0 
173 0.9145472049713135 0.0 0.0 0.0 0.0 0.0 
