i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y Kp_in_x Ki_in_x Kd_in_x Kp_in_y Ki_in_y Kd_in_y Kp_out_x Ki_out_x Kd_out_x Kp_out_y Ki_out_y Kd_out_y Kp_yaw Ki_yaw Kd_yaw
11 0.05854296684265137 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13043219499279052 -0.19634954084936207 0.06311235241586638 0.9950313730773934 -1.7413049028854386 0.4975156865386967 -0.08403956974496277 -0.07369835334253254 -0.010168787939140495 -0.008917500754446438 -0.08794627406824226 -0.0888576587631678 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
12 0.06397247314453125 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13604218187420086 -0.20616701789183017 0.06591734585657155 1.137928373511226 -1.4224104668890327 0.2844820933778065 -0.08812798124606906 -0.07710788570357496 -0.010663485730774356 -0.00933005417013257 -0.09893955832677229 -0.08251068313722652 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
13 0.06928849220275879 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1416521687556112 -0.21317950149359308 0.06731984257692414 0.5848610176616289 -1.1697220353232578 0.29243050883081445 -0.09085358891347325 -0.0802551463445372 -0.010993284258530264 -0.009710872707689002 -0.06595970555118152 -0.07616370751128629 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
14 0.07452869415283203 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14445716219631638 -0.21878948837500345 0.06872233929727672 0.8908511880283206 -1.187801584037761 0.29695039600944023 -0.09312492863631008 -0.08209104838509851 -0.01126811636499352 -0.009933016854596919 -0.054966421292651155 -0.04442882938158338 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
15 0.0797891616821289 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.008980278187677609 0.14866465235737414 -0.2243994752564138 0.07012483601762931 0.7968731365639694 -1.062497515418626 0.2656243788546565 -0.09539626835914691 -0.0844514938658202 -0.011542948471456775 -0.010218630757764243 -0.054966421292651155 -0.05712278063346489 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
16 0.08502745628356934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.009683313377908079 0.1528721425184319 -0.23000946213782414 0.0715273327379819 0.595919575250727 -0.8938793628760907 0.0 -0.09766760808198374 -0.08681193934654188 -0.011817780577920033 -0.010504244660931568 -0.0549664212926515 -0.05712278063346489 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
17 0.09025430679321289 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01033523226273728 0.15567713595913707 -0.2342169522988819 0.0715273327379819 0.26377594890964573 -0.7913278467289372 0.0 -0.09903041191568585 -0.08864784138710317 -0.011982679841797987 -0.010726388807839484 -0.03297985277559076 -0.04442882938158338 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
18 0.09546732902526855 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.010956481364325718 0.15707963267948966 -0.23842444245993963 0.0715273327379819 0.29878498516245977 -0.8963549554873794 0.0 -0.10039321574938793 -0.08995919998750412 -0.01214757910567594 -0.010885063198487999 -0.03297985277559076 -0.03173487812970291 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
19 0.10070037841796875 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01163602785286667 0.15848212939984224 -0.24263193262099741 0.0715273327379819 0.4584071646846172 -0.4584071646846172 0.0 -0.10175601958309005 -0.09127055858790507 -0.012312478369553896 -0.011043737589136514 -0.03297985277559111 -0.03173487812970291 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
20 0.10593056678771973 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.012043755745991242 0.16128712284054741 -0.2454369260617026 0.0715273327379819 0.0 -0.5976973025154853 0.0 -0.10266455547222478 -0.09284418890838617 -0.012422411212139198 -0.011234146857914726 -0.021986568517060393 -0.03808185375564245 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
