i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd outer_x_Kp outer_x_Ki outer_x_Kd outer_y_Kp outer_y_Ki outer_y_Kd
16 0.09125256538391113 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
17 0.09677600860595703 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
18 0.10224580764770508 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
19 0.10762381553649902 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
20 0.11299347877502441 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
21 0.11862397193908691 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
22 0.12402725219726562 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
23 0.12949538230895996 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
24 0.13483667373657227 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
25 0.14017391204833984 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
26 0.14568018913269043 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
27 0.15102577209472656 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
28 0.1565227508544922 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
29 0.161909818649292 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
30 0.16730284690856934 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
31 0.17279863357543945 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
32 0.17827558517456055 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
33 0.18383121490478516 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
34 0.18940973281860352 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
35 0.19591331481933594 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
36 0.20180463790893555 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
37 0.20774555206298828 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
38 0.21335697174072266 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
39 0.21893882751464844 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
40 0.2245180606842041 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
41 0.23018455505371094 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
42 0.2356259822845459 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
43 0.24129271507263184 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
44 0.2467026710510254 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
45 0.25223207473754883 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
46 0.25778913497924805 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
47 0.26333141326904297 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
48 0.2687389850616455 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
49 0.2741124629974365 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
50 0.27963709831237793 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
51 0.28536224365234375 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
